Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0019829	ATPase-coupled cation transmembrane transporter activity	 	2.968E-6	1.805E-3	1.640E-4	1.146E-3	6	57	ATP6V0C,ATP6V1E1,ATP1A1,ATP1A3,ATP2A2,ATP5F1B
GO: Molecular Function	GO:0010856	adenylate cyclase activator activity	 	3.389E-6	2.060E-3	1.704E-4	1.191E-3	3	5	CALM1,CALM2,GNAS
GO: Molecular Function	GO:0042625	ATPase-coupled ion transmembrane transporter activity	 	3.643E-6	2.215E-3	1.704E-4	1.191E-3	6	59	ATP6V0C,ATP6V1E1,ATP1A1,ATP1A3,ATP2A2,ATP5F1B
GO: Molecular Function	GO:0001664	G protein-coupled receptor binding	 	4.059E-6	2.468E-3	1.763E-4	1.232E-3	12	331	PSAP,CALM1,CALM2,PENK,APLP1,UCHL1,PPP1R1B,TAC1,GNAS,ATP1A3,ATP2A2,HSPA8
GO: Molecular Function	GO:0015078	proton transmembrane transporter activity	 	5.188E-6	3.154E-3	2.103E-4	1.470E-3	8	135	ATP5MC3,ATP5PF,ATP6V0C,ATP6V1E1,ATP5PO,COX5A,ATP2A2,ATP5F1B
GO: Molecular Function	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	 	8.430E-6	5.125E-3	3.203E-4	2.239E-3	4	19	ATP5PF,ATP6V0C,ATP5PO,ATP5F1B
GO: Molecular Function	GO:0044877	protein-containing complex binding	 	1.273E-5	7.741E-3	4.554E-4	3.182E-3	28	1668	ATP5PF,ATP5PO,INHBA,EIF1B,ACTB,OAZ1,PPIA,YWHAB,ITGBL1,THRA,PTPRN,NFE2L1,VAMP2,CTNNA3,PCDH15,PKM,EIF3K,H3-3B,EIF3C,GNAS,ATP1B1,EIF1,HSPA5,HSPA8,XRCC6,HSP90AA1,ATP5F1B,HSP90AB1
GO: Molecular Function	GO:0008556	P-type potassium transmembrane transporter activity	 	2.788E-5	1.695E-2	9.418E-4	6.582E-3	3	9	ATP6V1E1,ATP1A1,ATP1A3
GO: Molecular Function	GO:0015252	proton channel activity	 	3.129E-5	1.903E-2	1.001E-3	6.998E-3	4	26	ATP5PF,ATP6V0C,ATP5PO,ATP5F1B
GO: Molecular Function	GO:0005391	P-type sodium:potassium-exchanging transporter activity	 	3.963E-5	2.409E-2	1.205E-3	8.418E-3	3	10	ATP1A1,ATP1A3,ATP1B1
GO: Molecular Function	GO:0051082	unfolded protein binding	 	4.624E-5	2.812E-2	1.339E-3	9.356E-3	7	134	HSP90B1,TOMM20,PPIA,HSPA5,HSPA8,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0015207	adenine transmembrane transporter activity	 	4.964E-5	3.018E-2	1.372E-3	9.588E-3	2	2	SLC25A4,SLC25A5
GO: Molecular Function	GO:0003735	structural constituent of ribosome	 	6.615E-5	4.022E-2	1.749E-3	1.222E-2	8	192	RPL28,RPL41,RPLP2,RPS8,RPS15,RPS23,RPL10A,RPL13
GO: Molecular Function	GO:0140358	P-type transmembrane transporter activity	 	7.190E-5	4.372E-2	1.822E-3	1.273E-2	3	12	ATP1A1,ATP1A3,ATP1B1
GO: Molecular Function	GO:0008092	cytoskeletal protein binding	 	1.084E-4	6.591E-2	2.636E-3	1.842E-2	20	1115	CCSAP,CALM1,CALM2,GAPDH,ACTB,STMN2,RAB6B,PTPRN,SYT11,STMN3,VAMP2,CTNNA3,TMSB4X,TMSB10,GNAS,ATP1A1,ALDOA,RAB3A,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0031748	D1 dopamine receptor binding	 	1.177E-4	7.159E-2	2.653E-3	1.854E-2	3	14	PPP1R1B,GNAS,ATP1A3
GO: Molecular Function	GO:0022890	inorganic cation transmembrane transporter activity	 	1.178E-4	7.164E-2	2.653E-3	1.854E-2	15	695	SLC24A5,ATP5MC3,ATP5PF,ATP6V0C,ATP6V1E1,ATP5PO,CALM1,CALM2,KCNA1,COX5A,ATP1A1,ATP1A3,ATP1B1,ATP2A2,ATP5F1B
GO: Molecular Function	GO:0044183	protein folding chaperone	 	1.302E-4	7.915E-2	2.797E-3	1.955E-2	4	37	HSPA5,HSPA8,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0042562	hormone binding	 	1.357E-4	8.249E-2	2.797E-3	1.955E-2	6	111	INHBA,GLP2R,THRA,PKM,ATP1A1,ATP1A3
GO: Molecular Function	GO:0002135	CTP binding	 	1.472E-4	8.950E-2	2.797E-3	1.955E-2	2	3	HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0031997	N-terminal myristoylation domain binding	 	1.472E-4	8.950E-2	2.797E-3	1.955E-2	2	3	CALM1,CALM2
GO: Molecular Function	GO:0017098	sulfonylurea receptor binding	 	1.472E-4	8.950E-2	2.797E-3	1.955E-2	2	3	HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0019904	protein domain specific binding	 	1.903E-4	1.157E-1	3.505E-3	2.450E-2	17	895	CALM1,LZTS3,CALM2,GAPDH,YWHAB,LIN7B,ACSL3,KCNA1,THRA,NFE2L1,STMN3,GNAS,ATP1A1,HSPA5,HSPA8,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0008324	cation transmembrane transporter activity	 	2.431E-4	1.478E-1	4.347E-3	3.038E-2	15	743	SLC24A5,ATP5MC3,ATP5PF,ATP6V0C,ATP6V1E1,ATP5PO,CALM1,CALM2,KCNA1,COX5A,ATP1A1,ATP1A3,ATP1B1,ATP2A2,ATP5F1B
GO: Molecular Function	GO:0008553	P-type proton-exporting transporter activity	 	2.585E-4	1.572E-1	4.491E-3	3.139E-2	3	18	ATP6V0C,ATP6V1E1,ATP2A2
GO: Molecular Function	GO:0035639	purine ribonucleoside triphosphate binding	 	2.831E-4	1.722E-1	4.582E-3	3.202E-2	27	1888	HSP90B1,CLK4,ACTB,ACTG1,RAB6B,TUBB2A,EEF1A1,CKB,ACSL3,CAMKV,RRAGA,PKM,SIK2,ITM2C,FGFR2,GNAS,ATP1A1,ATP1A3,ITM2B,ATP2A2,RAB3A,HSPA5,HSPA8,XRCC6,HSP90AA1,ATP5F1B,HSP90AB1
GO: Molecular Function	GO:0002134	UTP binding	 	2.930E-4	1.782E-1	4.582E-3	3.202E-2	2	4	HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0005471	ATP:ADP antiporter activity	 	2.930E-4	1.782E-1	4.582E-3	3.202E-2	2	4	SLC25A4,SLC25A5
GO: Molecular Function	GO:0032555	purine ribonucleotide binding	 	2.939E-4	1.787E-1	4.582E-3	3.202E-2	28	1996	HSP90B1,PDE1C,CLK4,ACTB,ACTG1,RAB6B,TUBB2A,EEF1A1,CKB,ACSL3,CAMKV,RRAGA,PKM,SIK2,ITM2C,FGFR2,GNAS,ATP1A1,ATP1A3,ITM2B,ATP2A2,RAB3A,HSPA5,HSPA8,XRCC6,HSP90AA1,ATP5F1B,HSP90AB1
GO: Molecular Function	GO:0043531	ADP binding	 	3.612E-4	2.196E-1	5.490E-3	3.837E-2	4	48	PKM,ATP1A1,HSPA8,ATP5F1B
GO: Molecular Function	GO:0017111	nucleoside-triphosphatase activity	 	4.155E-4	2.526E-1	6.161E-3	4.305E-2	22	1428	ATP5PF,ATP6V0C,ATP6V1E1,ATP5PO,BAG1,RAB6B,TUBB2A,EEF1A1,ACSL3,RRAGA,TMEM30A,GNAS,ATP1A1,ATP1A3,ATP1B1,ATP2A2,RAB3A,HSPA5,HSPA8,XRCC6,HSP90AA1,ATP5F1B
GO: Molecular Function	GO:0005102	signaling receptor binding	 	4.536E-4	2.758E-1	6.567E-3	4.589E-2	27	1945	HSP90B1,PSAP,CALM1,CALM2,INHBA,PENK,LRTM1,APLP1,PPIA,PDIA3,CARTPT,BEX3,ITGBL1,UCHL1,NSG1,PPP1R1B,TAC1,PCSK1N,GNAS,ATP1A3,LY6H,BEX2,ATP2A2,HSPA8,HSP90AA1,ATP5F1B,HSP90AB1
GO: Molecular Function	GO:0032564	dATP binding	 	4.861E-4	2.956E-1	6.718E-3	4.694E-2	2	5	HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0031694	alpha-2A adrenergic receptor binding	 	4.861E-4	2.956E-1	6.718E-3	4.694E-2	2	5	APLP1,UCHL1
GO: Molecular Function	GO:0015075	ion transmembrane transporter activity	 	6.584E-4	4.003E-1	7.780E-3	5.437E-2	18	1090	SLC24A5,ATP5MC3,ATP5PF,ATP6V0C,ATP6V1E1,ATP5PO,CALM1,SLC25A4,SLC25A5,CALM2,TOMM20,KCNA1,COX5A,ATP1A1,ATP1A3,ATP1B1,ATP2A2,ATP5F1B
GO: Molecular Function	GO:0050780	dopamine receptor binding	 	7.029E-4	4.274E-1	7.780E-3	5.437E-2	3	25	PPP1R1B,GNAS,ATP1A3
GO: Molecular Function	GO:0031690	adrenergic receptor binding	 	7.029E-4	4.274E-1	7.780E-3	5.437E-2	3	25	APLP1,UCHL1,GNAS
GO: Molecular Function	GO:0044769	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	 	7.029E-4	4.274E-1	7.780E-3	5.437E-2	3	25	ATP6V0C,ATP6V1E1,ATP5F1B
GO: Molecular Function	GO:0046961	proton-transporting ATPase activity, rotational mechanism	 	7.029E-4	4.274E-1	7.780E-3	5.437E-2	3	25	ATP6V0C,ATP6V1E1,ATP5F1B
GO: Molecular Function	GO:0016462	pyrophosphatase activity	 	7.165E-4	4.356E-1	7.780E-3	5.437E-2	22	1487	ATP5PF,ATP6V0C,ATP6V1E1,ATP5PO,BAG1,RAB6B,TUBB2A,EEF1A1,ACSL3,RRAGA,TMEM30A,GNAS,ATP1A1,ATP1A3,ATP1B1,ATP2A2,RAB3A,HSPA5,HSPA8,XRCC6,HSP90AA1,ATP5F1B
GO: Molecular Function	GO:0098973	structural constituent of postsynaptic actin cytoskeleton	 	7.259E-4	4.413E-1	7.780E-3	5.437E-2	2	6	ACTB,ACTG1
GO: Molecular Function	GO:0031800	type 3 metabotropic glutamate receptor binding	 	7.259E-4	4.413E-1	7.780E-3	5.437E-2	2	6	CALM1,CALM2
GO: Molecular Function	GO:0005345	purine nucleobase transmembrane transporter activity	 	7.259E-4	4.413E-1	7.780E-3	5.437E-2	2	6	SLC25A4,SLC25A5
GO: Molecular Function	GO:0032557	pyrimidine ribonucleotide binding	 	7.259E-4	4.413E-1	7.780E-3	5.437E-2	2	6	HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0032558	adenyl deoxyribonucleotide binding	 	7.259E-4	4.413E-1	7.780E-3	5.437E-2	2	6	HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0016817	hydrolase activity, acting on acid anhydrides	 	7.294E-4	4.435E-1	7.780E-3	5.437E-2	22	1489	ATP5PF,ATP6V0C,ATP6V1E1,ATP5PO,BAG1,RAB6B,TUBB2A,EEF1A1,ACSL3,RRAGA,TMEM30A,GNAS,ATP1A1,ATP1A3,ATP1B1,ATP2A2,RAB3A,HSPA5,HSPA8,XRCC6,HSP90AA1,ATP5F1B
GO: Molecular Function	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	 	7.294E-4	4.435E-1	7.780E-3	5.437E-2	22	1489	ATP5PF,ATP6V0C,ATP6V1E1,ATP5PO,BAG1,RAB6B,TUBB2A,EEF1A1,ACSL3,RRAGA,TMEM30A,GNAS,ATP1A1,ATP1A3,ATP1B1,ATP2A2,RAB3A,HSPA5,HSPA8,XRCC6,HSP90AA1,ATP5F1B
GO: Molecular Function	GO:0016491	oxidoreductase activity	 	7.714E-4	4.690E-1	8.087E-3	5.651E-2	15	830	CALM1,CALM2,GAPDH,TECR,NDUFA5,NDUFA6,MDH1,LDHB,YWHAB,PDIA3,NDUFC2,COX5A,FTH1,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0044325	transmembrane transporter binding	 	7.861E-4	4.779E-1	8.100E-3	5.661E-2	6	154	CALM1,CALM2,VAMP2,ATP2A2,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0008135	translation factor activity, RNA binding	 	8.878E-4	5.398E-1	8.996E-3	6.287E-2	5	105	EIF1B,EEF1A1,EIF3K,EIF3C,EIF1
GO: Molecular Function	GO:0030554	adenyl nucleotide binding	 	9.489E-4	5.769E-1	9.411E-3	6.576E-2	23	1621	HSP90B1,PDE1C,CLK4,ACTB,BAG1,ACTG1,CKB,ACSL3,CAMKV,PKM,SIK2,ITM2C,FGFR2,ATP1A1,ATP1A3,ITM2B,ATP2A2,HSPA5,HSPA8,XRCC6,HSP90AA1,ATP5F1B,HSP90AB1
GO: Molecular Function	GO:0003743	translation initiation factor activity	 	9.596E-4	5.835E-1	9.411E-3	6.576E-2	4	62	EIF1B,EIF3K,EIF3C,EIF1
GO: Molecular Function	GO:0015205	nucleobase transmembrane transporter activity	 	1.011E-3	6.150E-1	9.609E-3	6.715E-2	2	7	SLC25A4,SLC25A5
GO: Molecular Function	GO:0032554	purine deoxyribonucleotide binding	 	1.011E-3	6.150E-1	9.609E-3	6.715E-2	2	7	HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	 	1.081E-3	6.574E-1	1.011E-2	7.068E-2	4	64	CALM1,CALM2,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0045182	translation regulator activity	 	1.271E-3	7.729E-1	1.150E-2	8.033E-2	6	169	EIF1B,RPS23,EEF1A1,EIF3K,EIF3C,EIF1
GO: Molecular Function	GO:0022853	active ion transmembrane transporter activity	 	1.273E-3	7.742E-1	1.150E-2	8.033E-2	7	231	SLC24A5,SLC25A4,SLC25A5,TOMM20,ATP1A1,ATP1A3,ATP1B1
GO: Molecular Function	GO:0030911	TPR domain binding	 	1.342E-3	8.162E-1	1.150E-2	8.033E-2	2	8	HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0015217	ADP transmembrane transporter activity	 	1.342E-3	8.162E-1	1.150E-2	8.033E-2	2	8	SLC25A4,SLC25A5
GO: Molecular Function	GO:0051021	GDP-dissociation inhibitor binding	 	1.342E-3	8.162E-1	1.150E-2	8.033E-2	2	8	RAB3A,HSP90AA1
GO: Molecular Function	GO:0070324	thyroid hormone binding	 	1.342E-3	8.162E-1	1.150E-2	8.033E-2	2	8	THRA,PKM
GO: Molecular Function	GO:0051087	chaperone binding	 	1.440E-3	8.757E-1	1.216E-2	8.500E-2	5	117	BAG1,ATP1A1,ATP1A3,HSPA5,HSPA8
GO: Molecular Function	GO:0032552	deoxyribonucleotide binding	 	1.718E-3	1.000E0	1.412E-2	9.864E-2	2	9	HSP90AA1,HSP90AB1
GO: Molecular Function	GO:1990239	steroid hormone binding	 	1.718E-3	1.000E0	1.412E-2	9.864E-2	2	9	ATP1A1,ATP1A3
GO: Molecular Function	GO:0015399	primary active transmembrane transporter activity	 	1.949E-3	1.000E0	1.560E-2	1.091E-1	4	75	TOMM20,ATP1A1,ATP1A3,ATP1B1
GO: Molecular Function	GO:0032559	adenyl ribonucleotide binding	 	1.951E-3	1.000E0	1.560E-2	1.091E-1	22	1607	HSP90B1,PDE1C,CLK4,ACTB,ACTG1,CKB,ACSL3,CAMKV,PKM,SIK2,ITM2C,FGFR2,ATP1A1,ATP1A3,ITM2B,ATP2A2,HSPA5,HSPA8,XRCC6,HSP90AA1,ATP5F1B,HSP90AB1
GO: Molecular Function	GO:0008022	protein C-terminus binding	 	1.998E-3	1.000E0	1.577E-2	1.102E-1	7	250	YWHAB,STMN3,VAMP2,ATP1B1,ATP2A2,RAB3A,XRCC6
GO: Molecular Function	GO:0031628	opioid receptor binding	 	2.138E-3	1.000E0	1.666E-2	1.164E-1	2	10	PENK,GNAS
GO: Molecular Function	GO:0005524	ATP binding	 	2.283E-3	1.000E0	1.757E-2	1.228E-1	21	1523	HSP90B1,CLK4,ACTB,ACTG1,CKB,ACSL3,CAMKV,PKM,SIK2,ITM2C,FGFR2,ATP1A1,ATP1A3,ITM2B,ATP2A2,HSPA5,HSPA8,XRCC6,HSP90AA1,ATP5F1B,HSP90AB1
GO: Molecular Function	GO:0016874	ligase activity	 	2.361E-3	1.000E0	1.794E-2	1.254E-1	6	191	ATP5PF,ATP6V0C,ATP5PO,ACSL3,UCHL1,ATP5F1B
GO: Molecular Function	GO:0042578	phosphoric ester hydrolase activity	 	2.508E-3	1.000E0	1.869E-2	1.306E-1	10	490	PDE1C,CALM1,CALM2,SMPD4,PDIA3,PTMA,PTPRN,PPP1R1B,GNAS,ATP1A1
GO: Molecular Function	GO:0090079	translation regulator activity, nucleic acid binding	 	2.527E-3	1.000E0	1.869E-2	1.306E-1	5	133	EIF1B,EEF1A1,EIF3K,EIF3C,EIF1
GO: Molecular Function	GO:0015079	potassium ion transmembrane transporter activity	 	2.552E-3	1.000E0	1.869E-2	1.306E-1	6	194	SLC24A5,ATP6V1E1,KCNA1,ATP1A1,ATP1A3,ATP1B1
GO: Molecular Function	GO:0004497	monooxygenase activity	 	2.610E-3	1.000E0	1.889E-2	1.320E-1	5	134	CALM1,CALM2,YWHAB,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0045296	cadherin binding	 	2.918E-3	1.000E0	2.087E-2	1.459E-1	8	341	YWHAB,CTNNA3,PKM,ALDOA,HSPA5,HSPA8,CDH18,HSP90AB1
GO: Molecular Function	GO:0022857	transmembrane transporter activity	 	3.023E-3	1.000E0	2.114E-2	1.477E-1	18	1250	SLC24A5,ATP5MC3,ATP5PF,ATP6V0C,ATP6V1E1,ATP5PO,CALM1,SLC25A4,SLC25A5,CALM2,TOMM20,KCNA1,COX5A,ATP1A1,ATP1A3,ATP1B1,ATP2A2,ATP5F1B
GO: Molecular Function	GO:0042277	peptide binding	 	3.025E-3	1.000E0	2.114E-2	1.477E-1	10	503	INHBA,TMEM158,TOMM20,PPIA,GLP2R,ITM2C,ATP1A3,ITM2B,HSPA8,HSP90AB1
GO: Molecular Function	GO:0015318	inorganic molecular entity transmembrane transporter activity	 	3.354E-3	1.000E0	2.317E-2	1.619E-1	15	965	SLC24A5,ATP5MC3,ATP5PF,ATP6V0C,ATP6V1E1,ATP5PO,CALM1,CALM2,KCNA1,COX5A,ATP1A1,ATP1A3,ATP1B1,ATP2A2,ATP5F1B
GO: Molecular Function	GO:0005215	transporter activity	 	3.392E-3	1.000E0	2.317E-2	1.619E-1	19	1366	SLC24A5,ATP5MC3,ATP5PF,ATP6V0C,ATP6V1E1,ATP5PO,CALM1,SLC25A4,SLC25A5,CALM2,TOMM20,KCNA1,COX5A,TMEM30A,ATP1A1,ATP1A3,ATP1B1,ATP2A2,ATP5F1B
GO: Molecular Function	GO:0033218	amide binding	 	3.432E-3	1.000E0	2.318E-2	1.620E-1	11	598	PSAP,INHBA,TMEM158,TOMM20,PPIA,GLP2R,ITM2C,ATP1A3,ITM2B,HSPA8,HSP90AB1
GO: Molecular Function	GO:0015297	antiporter activity	 	3.629E-3	1.000E0	2.364E-2	1.652E-1	4	89	SLC24A5,SLC25A4,SLC25A5,ATP1A3
GO: Molecular Function	GO:0072542	protein phosphatase activator activity	 	3.654E-3	1.000E0	2.364E-2	1.652E-1	2	13	CALM1,CALM2
GO: Molecular Function	GO:0030955	potassium ion binding	 	3.654E-3	1.000E0	2.364E-2	1.652E-1	2	13	PKM,ATP1A1
GO: Molecular Function	GO:0031386	protein tag	 	3.654E-3	1.000E0	2.364E-2	1.652E-1	2	13	UBB,UBL5
GO: Molecular Function	GO:0019887	protein kinase regulator activity	 	4.040E-3	1.000E0	2.586E-2	1.807E-1	6	213	CALM1,CALM2,YWHAB,CAMK2N1,PPP1R1B,HSP90AB1
GO: Molecular Function	GO:0048156	tau protein binding	 	4.165E-3	1.000E0	2.606E-2	1.821E-1	3	46	ACTB,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0019855	calcium channel inhibitor activity	 	4.244E-3	1.000E0	2.606E-2	1.821E-1	2	14	CALM1,CALM2
GO: Molecular Function	GO:0031432	titin binding	 	4.244E-3	1.000E0	2.606E-2	1.821E-1	2	14	CALM1,CALM2
GO: Molecular Function	GO:0019103	pyrimidine nucleotide binding	 	4.244E-3	1.000E0	2.606E-2	1.821E-1	2	14	HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0060590	ATPase regulator activity	 	4.426E-3	1.000E0	2.691E-2	1.881E-1	3	47	BAG1,ATP1B1,RAB3A
GO: Molecular Function	GO:0046873	metal ion transmembrane transporter activity	 	4.486E-3	1.000E0	2.700E-2	1.887E-1	10	532	SLC24A5,ATP6V0C,ATP6V1E1,CALM1,CALM2,KCNA1,ATP1A1,ATP1A3,ATP1B1,ATP2A2
GO: Molecular Function	GO:0050136	NADH dehydrogenase (quinone) activity	 	4.697E-3	1.000E0	2.773E-2	1.938E-1	3	48	NDUFA5,NDUFA6,NDUFC2
GO: Molecular Function	GO:0008137	NADH dehydrogenase (ubiquinone) activity	 	4.697E-3	1.000E0	2.773E-2	1.938E-1	3	48	NDUFA5,NDUFA6,NDUFC2
GO: Molecular Function	GO:0016829	lyase activity	 	4.829E-3	1.000E0	2.823E-2	1.973E-1	6	221	HACD4,OAZ1,GGACT,ALDOA,XRCC6,GOT1
GO: Molecular Function	GO:0003954	NADH dehydrogenase activity	 	4.978E-3	1.000E0	2.883E-2	2.014E-1	3	49	NDUFA5,NDUFA6,NDUFC2
GO: Molecular Function	GO:0005509	calcium ion binding	 	5.050E-3	1.000E0	2.897E-2	2.024E-1	13	815	PCP4,HSP90B1,CALM1,CALM2,STMN2,SYT11,VAMP2,PCDH15,ATP2A2,HSPA5,PCDH9,CDH18,ATP5F1B
GO: Molecular Function	GO:0015085	calcium ion transmembrane transporter activity	 	5.126E-3	1.000E0	2.913E-2	2.036E-1	5	157	SLC24A5,ATP6V0C,CALM1,CALM2,ATP2A2
GO: Molecular Function	GO:0035256	G protein-coupled glutamate receptor binding	 	5.545E-3	1.000E0	3.051E-2	2.132E-1	2	16	CALM1,CALM2
GO: Molecular Function	GO:0019211	phosphatase activator activity	 	5.545E-3	1.000E0	3.051E-2	2.132E-1	2	16	CALM1,CALM2
GO: Molecular Function	GO:0008179	adenylate cyclase binding	 	5.545E-3	1.000E0	3.051E-2	2.132E-1	2	16	CALM1,CALM2
GO: Molecular Function	GO:0003955	NAD(P)H dehydrogenase (quinone) activity	 	5.570E-3	1.000E0	3.051E-2	2.132E-1	3	51	NDUFA5,NDUFA6,NDUFC2
GO: Molecular Function	GO:0019901	protein kinase binding	 	5.655E-3	1.000E0	3.061E-2	2.139E-1	14	923	CALM1,CALM2,ACTB,PGAM1,YWHAB,EEF1A1,ACSL3,CAMK2N1,PPP1R1B,HNRNPA0,ATP1A1,ATP1B1,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0008081	phosphoric diester hydrolase activity	 	5.688E-3	1.000E0	3.061E-2	2.139E-1	4	101	PDE1C,SMPD4,PDIA3,GNAS
GO: Molecular Function	GO:0019900	kinase binding	 	5.926E-3	1.000E0	3.161E-2	2.209E-1	15	1027	CALM1,CALM2,ACTB,PGAM1,LDHB,YWHAB,EEF1A1,ACSL3,CAMK2N1,PPP1R1B,HNRNPA0,ATP1A1,ATP1B1,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0043024	ribosomal small subunit binding	 	6.255E-3	1.000E0	3.220E-2	2.250E-1	2	17	EIF1B,EIF1
GO: Molecular Function	GO:0048306	calcium-dependent protein binding	 	6.303E-3	1.000E0	3.220E-2	2.250E-1	4	104	CALM1,CALM2,STMN2,VAMP2
GO: Molecular Function	GO:0043021	ribonucleoprotein complex binding	 	6.794E-3	1.000E0	3.220E-2	2.250E-1	5	168	EIF1B,EIF3K,EIF3C,EIF1,HSPA5
GO: Molecular Function	GO:0050290	sphingomyelin phosphodiesterase D activity	 	7.096E-3	1.000E0	3.220E-2	2.250E-1	1	1	SMPD4
GO: Molecular Function	GO:1905574	ganglioside GM2 binding	 	7.096E-3	1.000E0	3.220E-2	2.250E-1	1	1	PSAP
GO: Molecular Function	GO:1905577	ganglioside GP1c binding	 	7.096E-3	1.000E0	3.220E-2	2.250E-1	1	1	PSAP
GO: Molecular Function	GO:1905575	ganglioside GM3 binding	 	7.096E-3	1.000E0	3.220E-2	2.250E-1	1	1	PSAP
GO: Molecular Function	GO:1904593	prostaglandin binding	 	7.096E-3	1.000E0	3.220E-2	2.250E-1	1	1	HSPA8
GO: Molecular Function	GO:0099520	ion antiporter activity involved in regulation of presynaptic membrane potential	 	7.096E-3	1.000E0	3.220E-2	2.250E-1	1	1	ATP1A3
GO: Molecular Function	GO:0102758	very-long-chain enoyl-CoA reductase activity	 	7.096E-3	1.000E0	3.220E-2	2.250E-1	1	1	TECR
GO: Molecular Function	GO:0031775	lutropin-choriogonadotropic hormone receptor binding	 	7.096E-3	1.000E0	3.220E-2	2.250E-1	1	1	ATP2A2
GO: Molecular Function	GO:0047860	diiodophenylpyruvate reductase activity	 	7.096E-3	1.000E0	3.220E-2	2.250E-1	1	1	MDH1
GO: Molecular Function	GO:0031695	alpha-2B adrenergic receptor binding	 	7.096E-3	1.000E0	3.220E-2	2.250E-1	1	1	APLP1
